State,Year,Table,Measure,Characteristic Label,Format,Value
Alabama,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Child File,Number,13
Alabama,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Agency File,Number,0
Alabama,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Total,Number,13
Alabama,2015,Child Fatalities by Submission Type,"Child fatalities, rate per 100,000 children",Total,Rate,1.178074048
Alaska,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Agency File,Number,5
Alaska,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Total,Number,5
Alaska,2015,Child Fatalities by Submission Type,"Child fatalities, rate per 100,000 children",Total,Rate,2.684333158
Arizona,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Child File,Number,50
Arizona,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Agency File,Number,1
Arizona,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Total,Number,51
Arizona,2015,Child Fatalities by Submission Type,"Child fatalities, rate per 100,000 children",Total,Rate,3.142619466
Arkansas,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Child File,Number,40
Arkansas,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Total,Number,40
Arkansas,2015,Child Fatalities by Submission Type,"Child fatalities, rate per 100,000 children",Total,Rate,5.671345527
California,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Agency File,Number,122
California,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Total,Number,122
California,2015,Child Fatalities by Submission Type,"Child fatalities, rate per 100,000 children",Total,Rate,1.337584953
Colorado,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Child File,Number,19
Colorado,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Total,Number,19
Colorado,2015,Child Fatalities by Submission Type,"Child fatalities, rate per 100,000 children",Total,Rate,1.511457244
Connecticut,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Child File,Number,11
Connecticut,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Total,Number,11
Connecticut,2015,Child Fatalities by Submission Type,"Child fatalities, rate per 100,000 children",Total,Rate,1.439679396
Delaware,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Child File,Number,1
Delaware,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Agency File,Number,0
Delaware,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Total,Number,1
Delaware,2015,Child Fatalities by Submission Type,"Child fatalities, rate per 100,000 children",Total,Rate,0.489270302
District of Columbia,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Child File,Number,3
District of Columbia,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Reported in the Agency File,Number,0
District of Columbia,2015,Child Fatalities by Submission Type,Child fatalities by submission type,Total,Number,3
