Year,City,Sport,Discipline,Athlete_Name,Country,Gender,Event,Medal
1896,Athens,Aquatics,Swimming,"Hajos, Alfred",HUN,Men,100M Freestyle,Gold
1896,Athens,Aquatics,Swimming,"Herschmann, Otto",AUT,Men,100M Freestyle,Silver
1896,Athens,Aquatics,Swimming,"Drivas, Dimitrios",GRE,Men,100M Freestyle For Sailors,Bronze
1896,Athens,Aquatics,Swimming,"Malokinis, Ioannis",GRE,Men,100M Freestyle For Sailors,Gold
1896,Athens,Aquatics,Swimming,"Chasapis, Spiridon",GRE,Men,100M Freestyle For Sailors,Silver
1896,Athens,Aquatics,Swimming,"Chorophas, Efstathios",GRE,Men,1200M Freestyle,Bronze
1896,Athens,Aquatics,Swimming,"Hajos, Alfred",HUN,Men,1200M Freestyle,Gold
1896,Athens,Aquatics,Swimming,"Andreou, Joannis",GRE,Men,1200M Freestyle,Silver
1896,Athens,Aquatics,Swimming,"Chorophas, Efstathios",GRE,Men,400M Freestyle,Bronze
1896,Athens,Aquatics,Swimming,"Neumann, Paul",AUT,Men,400M Freestyle,Gold
1896,Athens,Aquatics,Swimming,"Pepanos, Antonios",GRE,Men,400M Freestyle,Silver
1896,Athens,Athletics,Athletics,"Lane, Francis",USA,Men,100M,Bronze
1896,Athens,Athletics,Athletics,"Szokolyi, Alajos",HUN,Men,100M,Bronze
1896,Athens,Athletics,Athletics,"Burke, Thomas",USA,Men,100M,Gold
1896,Athens,Athletics,Athletics,"Hofmann, Fritz",GER,Men,100M,Silver
1896,Athens,Athletics,Athletics,"Curtis, Thomas",USA,Men,110M Hurdles,Gold
1896,Athens,Athletics,Athletics,"Goulding, Grantley",GBR,Men,110M Hurdles,Silver
1896,Athens,Athletics,Athletics,"Lermusiaux, Albin",FRA,Men,1500M,Bronze
1896,Athens,Athletics,Athletics,"Flack, Edwin",AUS,Men,1500M,Gold
1896,Athens,Athletics,Athletics,"Blake, Arthur",USA,Men,1500M,Silver
1896,Athens,Athletics,Athletics,"Gmelin, Charles",GBR,Men,400M,Bronze
1896,Athens,Athletics,Athletics,"Burke, Thomas",USA,Men,400M,Gold
1896,Athens,Athletics,Athletics,"Jamison, Herbert",USA,Men,400M,Silver
1896,Athens,Athletics,Athletics,"Golemis, Dimitrios",GRE,Men,800M,Bronze
1896,Athens,Athletics,Athletics,"Flack, Edwin",AUS,Men,800M,Gold
1896,Athens,Athletics,Athletics,"Dani, Nandor",HUN,Men,800M,Silver
1896,Athens,Athletics,Athletics,"Versis, Sotirios",GRE,Men,Discus Throw,Bronze
1896,Athens,Athletics,Athletics,"Garrett, Robert",USA,Men,Discus Throw,Gold
1896,Athens,Athletics,Athletics,"Paraskevopoulos, Panagiotis",GRE,Men,Discus Throw,Silver
1896,Athens,Athletics,Athletics,"Clark, Ellery",USA,Men,High Jump,Gold
1896,Athens,Athletics,Athletics,"Connolly, James",USA,Men,High Jump,Silver
1896,Athens,Athletics,Athletics,"Garrett, Robert",USA,Men,High Jump,Silver
1896,Athens,Athletics,Athletics,"Connolly, James",USA,Men,Long Jump,Bronze
1896,Athens,Athletics,Athletics,"Clark, Ellery",USA,Men,Long Jump,Gold
1896,Athens,Athletics,Athletics,"Garrett, Robert",USA,Men,Long Jump,Silver
1896,Athens,Athletics,Athletics,"Kellner, Gyula",HUN,Men,Marathon,Bronze
1896,Athens,Athletics,Athletics,"Louis, Spyridon",GRE,Men,Marathon,Gold
1896,Athens,Athletics,Athletics,"Vasilakos, Kharilaos",GRE,Men,Marathon,Silver
1896,Athens,Athletics,Athletics,"Damaskos, Evangelos",GRE,Men,Pole Vault,Bronze
1896,Athens,Athletics,Athletics,"Theodoropoulos, Ioannis",GRE,Men,Pole Vault,Bronze
1896,Athens,Athletics,Athletics,"Hoyt, William Welles",USA,Men,Pole Vault,Gold
1896,Athens,Athletics,Athletics,"Tyler, Albert",USA,Men,Pole Vault,Silver
1896,Athens,Athletics,Athletics,"Papasideris, Georgios",GRE,Men,Shot Put,Bronze
1896,Athens,Athletics,Athletics,"Garrett, Robert",USA,Men,Shot Put,Gold
1896,Athens,Athletics,Athletics,"Gouskos, Miltiadis",GRE,Men,Shot Put,Silver
1896,Athens,Athletics,Athletics,"Persakis, Ioannis",GRE,Men,Triple Jump,Bronze
1896,Athens,Athletics,Athletics,"Connolly, James",USA,Men,Triple Jump,Gold
1896,Athens,Athletics,Athletics,"Tufferi, Alexandre",FRA,Men,Triple Jump,Silver
1896,Athens,Cycling,Cycling Road,"Battel, Edward",GBR,Men,Individual Road Race,Bronze
1896,Athens,Cycling,Cycling Road,"Konstantinidis, Aristidis",GRE,Men,Individual Road Race,Gold
1896,Athens,Cycling,Cycling Road,"Goedrich, August",GER,Men,Individual Road Race,Silver
