Country,Year,Medal,Count
AFG,2008,Bronze,1
AFG,2012,Bronze,1
AHO,1988,Silver,1
ALG,1984,Bronze,2
ALG,1992,Bronze,1
ALG,1992,Gold,1
ALG,1996,Bronze,1
ALG,1996,Gold,2
ALG,2000,Bronze,3
ALG,2000,Gold,1
ALG,2000,Silver,1
ALG,2008,Bronze,1
ALG,2008,Silver,1
ALG,2012,Gold,1
ANZ,1908,Bronze,2
ANZ,1908,Gold,15
ANZ,1908,Silver,2
ANZ,1912,Bronze,3
ANZ,1912,Gold,5
ANZ,1912,Silver,2
ARG,1924,Bronze,2
ARG,1924,Gold,6
ARG,1924,Silver,3
ARG,1928,Bronze,5
ARG,1928,Gold,3
ARG,1928,Silver,24
ARG,1932,Gold,3
ARG,1932,Silver,1
ARG,1936,Bronze,4
ARG,1936,Gold,5
ARG,1936,Silver,2
ARG,1948,Bronze,1
ARG,1948,Gold,3
ARG,1948,Silver,8
ARG,1952,Bronze,2
ARG,1952,Gold,2
ARG,1952,Silver,2
ARG,1956,Bronze,1
ARG,1956,Silver,1
ARG,1960,Bronze,1
ARG,1960,Silver,3
ARG,1964,Silver,1
ARG,1968,Bronze,2
ARG,1972,Silver,1
ARG,1988,Bronze,12
ARG,1988,Silver,1
ARG,1992,Bronze,2
ARG,1996,Bronze,1
ARG,1996,Silver,19
ARG,2000,Bronze,3
ARG,2000,Silver,17
ARG,2004,Bronze,21
ARG,2004,Gold,26
ARG,2008,Bronze,31
ARG,2008,Gold,20
ARG,2012,Bronze,3
ARG,2012,Gold,1
ARG,2012,Silver,16
ARM,1996,Gold,1
ARM,1996,Silver,1
ARM,2000,Bronze,1
ARM,2008,Bronze,6
ARM,2012,Bronze,1
ARM,2012,Silver,1
AUS,1896,Gold,2
AUS,1900,Bronze,3
AUS,1900,Gold,2
AUS,1920,Bronze,1
AUS,1920,Silver,5
AUS,1924,Bronze,2
AUS,1924,Gold,3
AUS,1924,Silver,5
AUS,1928,Bronze,1
AUS,1928,Gold,1
AUS,1928,Silver,2
AUS,1932,Bronze,1
AUS,1932,Gold,3
AUS,1932,Silver,1
AUS,1936,Bronze,1
AUS,1948,Bronze,5
AUS,1948,Gold,2
AUS,1948,Silver,9
AUS,1952,Bronze,11
AUS,1952,Gold,7
AUS,1952,Silver,2
AUS,1956,Bronze,26
AUS,1956,Gold,23
AUS,1956,Silver,12
AUS,1960,Bronze,9
AUS,1960,Gold,10
AUS,1960,Silver,17
AUS,1964,Bronze,29
AUS,1964,Gold,8
AUS,1964,Silver,5
AUS,1968,Bronze,10
AUS,1968,Gold,5
AUS,1968,Silver,34
AUS,1972,Bronze,2
AUS,1972,Gold,11
AUS,1972,Silver,7
AUS,1976,Bronze,8
AUS,1976,Silver,16
AUS,1980,Bronze,5
AUS,1980,Gold,5
AUS,1980,Silver,2
AUS,1984,Bronze,29
AUS,1984,Gold,7
AUS,1984,Silver,14
AUS,1988,Bronze,10
AUS,1988,Gold,18
AUS,1988,Silver,6
AUS,1992,Bronze,16
AUS,1992,Gold,14
AUS,1992,Silver,27
AUS,1996,Bronze,84
AUS,1996,Gold,32
AUS,1996,Silver,16
AUS,2000,Bronze,54
AUS,2000,Gold,60
AUS,2000,Silver,69
AUS,2004,Bronze,30
AUS,2004,Gold,49
AUS,2004,Silver,78
AUS,2008,Bronze,76
AUS,2008,Gold,31
AUS,2008,Silver,42
AUS,2012,Bronze,59
AUS,2012,Gold,19
AUS,2012,Silver,36
AUT,1896,Bronze,2
AUT,1896,Gold,2
AUT,1896,Silver,1
AUT,1900,Bronze,3
AUT,1900,Silver,3
AUT,1904,Bronze,1
AUT,1908,Bronze,1
AUT,1912,Bronze,5
AUT,1912,Silver,9
AUT,1924,Bronze,1
AUT,1924,Silver,3
AUT,1928,Bronze,2
AUT,1928,Gold,2
AUT,1932,Bronze,3
AUT,1932,Gold,1
AUT,1932,Silver,1
AUT,1936,Bronze,4
AUT,1936,Gold,5
AUT,1936,Silver,41
AUT,1948,Bronze,3
AUT,1948,Gold,1
AUT,1952,Bronze,2
AUT,1952,Silver,1
AUT,1956,Bronze,4
AUT,1960,Gold,1
AUT,1960,Silver,2
AUT,1968,Bronze,3
AUT,1968,Silver,2
AUT,1972,Bronze,2
AUT,1972,Silver,1
AUT,1976,Bronze,1
AUT,1980,Bronze,1
AUT,1980,Gold,1
AUT,1980,Silver,3
AUT,1984,Bronze,1
AUT,1984,Gold,1
AUT,1984,Silver,1
AUT,1988,Gold,1
AUT,1992,Silver,6
AUT,1996,Bronze,2
AUT,1996,Silver,1
AUT,2000,Gold,3
AUT,2000,Silver,1
AUT,2004,Bronze,1
AUT,2004,Gold,3
AUT,2004,Silver,4
AUT,2008,Bronze,2
AUT,2008,Silver,1
AZE,1996,Silver,1
AZE,2000,Bronze,1
AZE,2000,Gold,2
AZE,2004,Bronze,4
AZE,2004,Gold,1
AZE,2008,Bronze,4
AZE,2008,Gold,1
AZE,2008,Silver,2
AZE,2012,Bronze,6
AZE,2012,Gold,2
AZE,2012,Silver,2
BAH,1956,Bronze,2
BAH,1964,Gold,2
BAH,1992,Bronze,1
BAH,1996,Silver,5
BAH,2000,Gold,6
BAH,2004,Bronze,1
BAH,2004,Gold,1
BAH,2008,Bronze,1
BAH,2008,Silver,4
BAH,2012,Gold,4
BAR,2000,Bronze,1
BDI,1996,Gold,1
BEL,1900,Bronze,15
BEL,1900,Gold,5
BEL,1900,Silver,19
BEL,1908,Bronze,6
BEL,1908,Gold,1
BEL,1908,Silver,24
BEL,1912,Bronze,9
BEL,1912,Gold,9
BEL,1912,Silver,1
BEL,1920,Bronze,65
BEL,1920,Gold,57
BEL,1920,Silver,66
BEL,1924,Bronze,6
BEL,1924,Gold,3
BEL,1924,Silver,29
BEL,1928,Bronze,4
BEL,1928,Silver,1
BEL,1936,Bronze,12
BEL,1948,Bronze,8
BEL,1948,Gold,4
BEL,1948,Silver,2
BEL,1952,Gold,4
BEL,1952,Silver,3
BEL,1956,Silver,2
BEL,1960,Bronze,2
BEL,1960,Silver,2
BEL,1964,Bronze,1
BEL,1964,Gold,2
BEL,1968,Bronze,2
BEL,1968,Silver,1
BEL,1972,Silver,2
BEL,1976,Bronze,6
BEL,1976,Silver,3
BEL,1980,Gold,1
BEL,1984,Bronze,2
BEL,1984,Gold,1
BEL,1984,Silver,2
BEL,1988,Bronze,2
BEL,1992,Bronze,2
BEL,1992,Silver,1
BEL,1996,Bronze,2
BEL,1996,Gold,2
BEL,1996,Silver,2
BEL,2000,Bronze,4
BEL,2000,Silver,3
BEL,2004,Bronze,2
BEL,2004,Gold,1
BEL,2008,Gold,1
BEL,2008,Silver,4
BEL,2012,Bronze,2
BEL,2012,Silver,1
BER,1976,Bronze,1
BLR,1996,Bronze,16
BLR,1996,Gold,1
BLR,1996,Silver,6
BLR,2000,Bronze,11
BLR,2000,Gold,3
BLR,2000,Silver,8
BLR,2004,Bronze,9
BLR,2004,Gold,2
BLR,2004,Silver,6
BLR,2008,Bronze,17
BLR,2008,Gold,8
BLR,2008,Silver,5
BLR,2012,Bronze,6
BLR,2012,Gold,3
BLR,2012,Silver,12
BOH,1900,Bronze,1
BOH,1900,Silver,1
BOH,1908,Bronze,5
BOT,2012,Silver,1
BRA,1920,Bronze,5
BRA,1920,Gold,1
BRA,1920,Silver,1
BRA,1948,Bronze,12
BRA,1952,Bronze,2
BRA,1952,Gold,1
BRA,1956,Gold,1
BRA,1960,Bronze,13
BRA,1964,Bronze,12
BRA,1968,Bronze,3
BRA,1968,Silver,1
BRA,1972,Bronze,2
BRA,1976,Bronze,3
BRA,1980,Bronze,5
BRA,1980,Gold,4
BRA,1984,Bronze,2
