Athlete,Medal,Count
"BOVELL, George",Bronze,1
"BREMBILLA, Emiliano",Bronze,1
"CAPPELLAZZO, Federico",Bronze,1
"CERCATO, Simone",Bronze,1
"CONRAD, Lars",Silver,1
"CROCKER, Ian",Bronze,1
"CROCKER, Ian",Gold,1
"CROCKER, Ian",Silver,1
"CSEH, Laszlo",Bronze,1
"DAVIES, David",Bronze,1
"DRAGANJA, Duje",Silver,1
"DRIESEN, Steffen",Silver,1
"DUBOSCQ, Hugues",Bronze,1
"DUSING, Nate",Bronze,1
"FERNS, Lyndon",Gold,1
"FLOREA, Razvan Ionut",Bronze,1
"GANGLOFF, Mark",Gold,1
"GOLDBLATT, Scott",Gold,1
"GYURTA, Daniel",Silver,1
"HACKETT, Grant",Gold,1
"HACKETT, Grant",Silver,2
"HALL, Gary Jr.",Bronze,1
"HALL, Gary Jr.",Gold,1
"HANSEN, Brendan",Bronze,1
"HANSEN, Brendan",Gold,1
"HANSEN, Brendan",Silver,1
"JENSEN, Larsen",Silver,1
"KELLER, Klete",Bronze,1
"KELLER, Klete",Gold,1
"KENKHUIS, Johan",Silver,1
"KETCHUM, Dan",Gold,1
"KITAJIMA, Kosuke",Bronze,1
"KITAJIMA, Kosuke",Gold,2
"KLIM, Michael",Silver,1
"KRAYZELBURG, Lenny",Gold,1
"KRUPPA, Jens",Silver,1
"LEZAK, Jason",Bronze,1
"LEZAK, Jason",Gold,1
"LOCHTE, Ryan",Gold,1
"LOCHTE, Ryan",Silver,1
"MAGNINI, Filippo",Bronze,1
"MATKOVICH, Antony",Silver,1
"MEEUW, Helge",Silver,1
"MORITA, Tomomi",Bronze,2
"NEETHLING, Ryk",Gold,1
"OKUMURA, Yoshihiro",Bronze,1
"PARRY, Stephen",Bronze,1
"PEARSON, Todd",Silver,1
"PEIRSOL, Aaron",Gold,3
"PELLICIARI, Matteo",Bronze,1
"PHELPS, Michael",Bronze,2
"PHELPS, Michael",Gold,6
"ROGAN, Markus",Silver,2
"ROSOLINO, Massimiliano",Bronze,1
"RUPPRATH, Thomas",Silver,1
"SCHOEMAN, Roland",Bronze,1
"SCHOEMAN, Roland",Gold,1
"SCHOEMAN, Roland",Silver,1
"SERDINOV, Andriy",Bronze,1
"SPRENGER, Nicholas",Silver,1
"STEVENS, Craig",Silver,1
"THORPE, Ian",Bronze,1
"THORPE, Ian",Gold,2
"THORPE, Ian",Silver,1
"TOWNSEND, Darian",Gold,1
"VAN DEN HOOGENBAND, Pieter",Gold,1
"VAN DEN HOOGENBAND, Pieter",Silver,2
"VANDERKAAY, Peter",Gold,1
"VEENS, Mark Hermanus",Silver,1
"VENDT, Erik",Silver,1
"WALKER, Neil",Bronze,1
"WALKER, Neil",Gold,1
"WOODWARD, Gabe",Bronze,1
"YAMAMOTO, Takashi",Bronze,1
"YAMAMOTO, Takashi",Silver,1
"ZASTROW, Mitja",Silver,1
"ZWERING, Klaas-Erik",Silver,1
