Country,Medal,Count
AFG,Bronze,2
AHO,Silver,1
ALG,Bronze,8
ALG,Gold,5
ALG,Silver,2
ANZ,Bronze,5
ANZ,Gold,20
ANZ,Silver,4
ARG,Bronze,91
ARG,Gold,69
ARG,Silver,99
ARM,Bronze,8
ARM,Gold,1
ARM,Silver,2
AUS,Bronze,472
AUS,Gold,312
AUS,Silver,405
AUT,Bronze,44
AUT,Gold,21
AUT,Silver,81
AZE,Bronze,15
AZE,Gold,6
AZE,Silver,5
BAH,Bronze,5
BAH,Gold,13
BAH,Silver,9
BAR,Bronze,1
BDI,Gold,1
BEL,Bronze,152
BEL,Gold,91
BEL,Silver,168
BER,Bronze,1
BLR,Bronze,59
BLR,Gold,17
BLR,Silver,37
BOH,Bronze,6
BOH,Silver,1
BOT,Silver,1
BRA,Bronze,185
BRA,Gold,73
BRA,Silver,173
BRN,Bronze,1
BUL,Bronze,137
BUL,Gold,53
BUL,Silver,143
BWI,Bronze,5
CAN,Bronze,262
CAN,Gold,155
CAN,Silver,232
CHI,Bronze,21
CHI,Gold,3
CHI,Silver,9
CHN,Bronze,221
CHN,Gold,290
CHN,Silver,296
CIV,Silver,1
CMR,Bronze,2
CMR,Gold,20
CMR,Silver,1
COL,Bronze,11
COL,Gold,2
COL,Silver,6
CRC,Bronze,2
CRC,Gold,1
CRC,Silver,1
CRO,Bronze,34
CRO,Gold,46
CRO,Silver,34
CUB,Bronze,116
CUB,Gold,165
CUB,Silver,129
CYP,Silver,1
CZE,Bronze,20
CZE,Gold,14
CZE,Silver,22
DEN,Bronze,160
DEN,Gold,150
DEN,Silver,197
DJI,Bronze,1
DOM,Bronze,1
DOM,Gold,3
DOM,Silver,2
ECU,Gold,1
ECU,Silver,1
EGY,Bronze,11
EGY,Gold,7
EGY,Silver,10
ERI,Bronze,1
ESP,Bronze,117
ESP,Gold,98
ESP,Silver,227
EST,Bronze,20
EST,Gold,9
EST,Silver,10
ETH,Bronze,16
ETH,Gold,21
ETH,Silver,8
EUA,Bronze,92
EUA,Gold,68
EUA,Silver,100
EUN,Bronze,66
EUN,Gold,92
EUN,Silver,65
FIN,Bronze,212
FIN,Gold,124
FIN,Silver,120
FRA,Bronze,497
FRA,Gold,408
FRA,Silver,491
FRG,Bronze,180
FRG,Gold,143
FRG,Silver,167
GAB,Silver,1
GBR,Bronze,553
GBR,Gold,546
GBR,Silver,621
GDR,Bronze,225
GDR,Gold,329
GDR,Silver,271
GEO,Bronze,14
GEO,Gold,6
GEO,Silver,5
GER,Bronze,475
GER,Gold,452
GER,Silver,378
GHA,Bronze,15
GHA,Silver,1
GRE,Bronze,52
GRE,Gold,34
GRE,Silver,62
GRN,Gold,1
GUA,Silver,1
GUY,Bronze,1
HAI,Bronze,7
HAI,Silver,1
HKG,Bronze,1
HKG,Gold,1
HKG,Silver,2
HUN,Bronze,351
HUN,Gold,412
HUN,Silver,316
INA,Bronze,13
INA,Gold,9
INA,Silver,16
IND,Bronze,38
IND,Gold,128
IND,Silver,18
IOP,Bronze,2
IOP,Silver,1
IRI,Bronze,24
IRI,Gold,16
IRI,Silver,21
IRL,Bronze,12
IRL,Gold,9
IRL,Silver,9
IRQ,Bronze,1
ISL,Bronze,2
ISL,Silver,15
ISR,Bronze,5
ISR,Gold,1
ISR,Silver,1
ISV,Silver,1
ITA,Bronze,404
ITA,Gold,476
ITA,Silver,416
