This, is, the, Titanic, Dataset.
It, contains, all, passengers, that, were, aboard, the, titanic, when
the, tragic, disaster, occured, in, the, year, 19,1,2
0,0,3,male,22.0,1,0,$7.25,S,
1,1,1,female,38.0,1,0,$71.2833,C,C
2,1,3,female,26.0,0,0,$7.925,S,
3,1,1,female,35.0,1,0,$53.1,S,C
4,0,3,male,35.0,0,0,$8.05,S,
5,0,3,male,Missing Data,0,0,$8.4583,Q,
6,0,1,male,54.0,0,0,$51.8625,S,E
7,0,3,male,2.0,3,1,$21.075,S,
8,1,3,female,27.0,0,2,$11.1333,S,
9,1,2,female,14.0,1,0,$30.0708,C,
10,1,3,female,4.0,1,1,$16.7,S,G
11,1,1,female,58.0,0,0,$26.55,S,C
12,0,3,male,20.0,0,0,$8.05,S,
13,0,3,male,39.0,1,5,$31.275,S,
14,0,3,female,14.0,0,0,$7.8542,S,
15,1,2,female,55.0,0,0,$16.0,S,
16,0,3,male,2.0,4,1,$29.125,Q,
17,1,2,male,Missing Data,0,0,$13.0,S,
18,0,3,female,31.0,1,0,$18.0,S,
19,1,3,female,Missing Data,0,0,$7.225,C,
20,0,2,male,35.0,0,0,$26.0,S,
21,1,2,male,34.0,0,0,$13.0,S,D
22,1,3,female,15.0,0,0,$8.0292,Q,
23,1,1,male,28.0,0,0,$35.5,S,A
24,0,3,female,8.0,3,1,$21.075,S,
25,1,3,female,38.0,1,5,$31.3875,S,
26,0,3,male,Missing Data,0,0,$7.225,C,
27,0,1,male,19.0,3,2,$263.0,S,C
28,1,3,female,Missing Data,0,0,$7.8792,Q,
29,0,3,male,Missing Data,0,0,$7.8958,S,
30,0,1,male,40.0,0,0,$27.7208,C,
31,1,1,female,Missing Data,1,0,$146.5208,C,B
32,1,3,female,Missing Data,0,0,$7.75,Q,
33,0,2,male,66.0,0,0,$10.5,S,
34,0,1,male,28.0,1,0,$82.1708,C,
35,0,1,male,42.0,1,0,$52.0,S,
36,1,3,male,Missing Data,0,0,$7.2292,C,
37,0,3,male,21.0,0,0,$8.05,S,
38,0,3,female,18.0,2,0,$18.0,S,
39,1,3,female,14.0,1,0,$11.2417,C,
40,0,3,female,40.0,1,0,$9.475,S,
41,0,2,female,27.0,1,0,$21.0,S,
42,0,3,male,Missing Data,0,0,$7.8958,C,
43,1,2,female,3.0,1,2,$41.5792,C,
44,1,3,female,19.0,0,0,$7.8792,Q,
45,0,3,male,Missing Data,0,0,$8.05,S,
46,0,3,male,Missing Data,1,0,$15.5,Q,
47,1,3,female,Missing Data,0,0,$7.75,Q,
48,0,3,male,Missing Data,2,0,$21.6792,C,
49,0,3,female,18.0,1,0,$17.8,S,
50,0,3,male,7.0,4,1,$39.6875,S,
51,0,3,male,21.0,0,0,$7.8,S,
52,1,1,female,49.0,1,0,$76.7292,C,D
53,1,2,female,29.0,1,0,$26.0,S,
54,0,1,male,65.0,0,1,$61.9792,C,B
55,1,1,male,Missing Data,0,0,$35.5,S,C
56,1,2,female,21.0,0,0,$10.5,S,
57,0,3,male,28.5,0,0,$7.2292,C,
58,1,2,female,5.0,1,2,$27.75,S,
59,0,3,male,11.0,5,2,$46.9,S,
60,0,3,male,22.0,0,0,$7.2292,C,
61,1,1,female,38.0,0,0,$80.0,,B
62,0,1,male,45.0,1,0,$83.475,S,C
63,0,3,male,4.0,3,2,$27.9,S,
64,0,1,male,Missing Data,0,0,$27.7208,C,
65,1,3,male,Missing Data,1,1,$15.2458,C,
66,1,2,female,29.0,0,0,$10.5,S,F
67,0,3,male,19.0,0,0,$8.1583,S,
68,1,3,female,17.0,4,2,$7.925,S,
69,0,3,male,26.0,2,0,$8.6625,S,
70,0,2,male,32.0,0,0,$10.5,S,
71,0,3,female,16.0,5,2,$46.9,S,
72,0,2,male,21.0,0,0,$73.5,S,
73,0,3,male,26.0,1,0,$14.4542,C,
74,1,3,male,32.0,0,0,$56.4958,S,
75,0,3,male,25.0,0,0,$7.65,S,F
76,0,3,male,Missing Data,0,0,$7.8958,S,
77,0,3,male,Missing Data,0,0,$8.05,S,
78,1,2,male,0.83,0,2,$29.0,S,
79,1,3,female,30.0,0,0,$12.475,S,
80,0,3,male,22.0,0,0,$9.0,S,
81,1,3,male,29.0,0,0,$9.5,S,
82,1,3,female,Missing Data,0,0,$7.7875,Q,
83,0,1,male,28.0,0,0,$47.1,S,
84,1,2,female,17.0,0,0,$10.5,S,
85,1,3,female,33.0,3,0,$15.85,S,
86,0,3,male,16.0,1,3,$34.375,S,
87,0,3,male,Missing Data,0,0,$8.05,S,
88,1,1,female,23.0,3,2,$263.0,S,C
89,0,3,male,24.0,0,0,$8.05,S,
90,0,3,male,29.0,0,0,$8.05,S,
91,0,3,male,20.0,0,0,$7.8542,S,
92,0,1,male,46.0,1,0,$61.175,S,E
93,0,3,male,26.0,1,2,$20.575,S,
94,0,3,male,59.0,0,0,$7.25,S,
95,0,3,male,Missing Data,0,0,$8.05,S,
96,0,1,male,71.0,0,0,$34.6542,C,A
97,1,1,male,23.0,0,1,$63.3583,C,D
98,1,2,female,34.0,0,1,$23.0,S,
99,0,2,male,34.0,1,0,$26.0,S,
100,0,3,female,28.0,0,0,$7.8958,S,
101,0,3,male,Missing Data,0,0,$7.8958,S,
102,0,1,male,21.0,0,1,$77.2875,S,D
103,0,3,male,33.0,0,0,$8.6542,S,
104,0,3,male,37.0,2,0,$7.925,S,
105,0,3,male,28.0,0,0,$7.8958,S,
106,1,3,female,21.0,0,0,$7.65,S,
107,1,3,male,Missing Data,0,0,$7.775,S,
108,0,3,male,38.0,0,0,$7.8958,S,
109,1,3,female,Missing Data,1,0,$24.15,Q,
110,0,1,male,47.0,0,0,$52.0,S,C
111,0,3,female,14.5,1,0,$14.4542,C,
112,0,3,male,22.0,0,0,$8.05,S,
113,0,3,female,20.0,1,0,$9.825,S,
114,0,3,female,17.0,0,0,$14.4583,C,
115,0,3,male,21.0,0,0,$7.925,S,
116,0,3,male,70.5,0,0,$7.75,Q,
117,0,2,male,29.0,1,0,$21.0,S,
118,0,1,male,24.0,0,1,$247.5208,C,B
119,0,3,female,2.0,4,2,$31.275,S,
120,0,2,male,21.0,2,0,$73.5,S,
121,0,3,male,Missing Data,0,0,$8.05,S,
122,0,2,male,32.5,1,0,$30.0708,C,
123,yes,2,female,32.5,0,0,$13.0,S,E
124,0,1,male,54.0,0,1,$77.2875,S,D
125,1,3,male,12.0,1,0,$11.2417,C,
126,0,3,male,Missing Data,0,0,$7.75,Q,
127,1,3,male,24.0,0,0,$7.1417,S,
128,1,3,female,Missing Data,1,1,$22.3583,C,F
129,0,3,male,45.0,0,0,$6.975,S,
130,0,3,male,33.0,0,0,$7.8958,C,
131,0,3,male,20.0,0,0,$7.05,S,
132,0,3,female,47.0,1,0,$14.5,S,
133,1,2,female,29.0,1,0,$26.0,S,
134,0,2,male,25.0,0,0,$13.0,S,
135,0,2,male,23.0,0,0,$15.0458,C,
136,1,1,female,19.0,0,2,$26.2833,S,D
137,0,1,male,37.0,1,0,$53.1,S,C
138,0,3,male,16.0,0,0,$9.2167,S,
139,0,1,male,24.0,0,0,$79.2,C,B
140,0,3,female,Missing Data,0,2,$15.2458,C,
